"k","d","m","stoch","kl_divergence"
0.1,50,1,0.5,7.8850964572683
0.2,50,1,0.5,7.80989955243764
0.5,50,1,0.5,7.78906253378052
0.1,100,1,0.5,7.86571346353682
0.2,100,1,0.5,7.77584685623633
0.5,100,1,0.5,7.85690301184069
0.1,150,1,0.5,7.85690301184069
0.2,150,1,0.5,7.89681495881571
0.5,150,1,0.5,7.83391882107737
0.1,50,2,0.5,7.81637493403851
0.2,50,2,0.5,7.85602196667108
0.5,50,2,0.5,7.9194572188832
0.1,100,2,0.5,7.87892914108101
0.2,100,2,0.5,7.86218928285837
0.5,100,2,0.5,7.87011868938488
0.1,150,2,0.5,7.808445527512
0.2,150,2,0.5,7.84889658896078
0.5,150,2,0.5,7.78955849718315
0.1,50,3,0.5,7.89126377345559
0.2,50,3,0.5,7.87540496040256
0.5,50,3,0.5,7.86923764421527
0.1,100,3,0.5,7.84016315361805
0.2,100,3,0.5,7.87188077972411
0.5,100,3,0.5,7.85778405701031
0.1,150,3,0.5,7.781133127254
0.2,150,3,0.5,7.85042763023982
0.5,150,3,0.5,7.86835659904566
0.1,50,1,1,7.75247758370603
0.2,50,1,1,7.8639513731976
0.5,50,1,1,7.89478795413404
0.1,100,1,1,7.81173865913026
0.2,100,1,1,7.87452391523295
0.5,100,1,1,7.92386244473126
0.1,150,1,1,7.81020761785122
0.2,150,1,1,7.92298139956165
0.5,150,1,1,7.84081314972748
0.1,50,2,1,7.77836982432064
0.2,50,2,1,7.8850964572683
0.5,50,2,1,7.85954614734953
0.1,100,2,1,7.9123318411729
0.2,100,2,1,7.87276182489372
0.5,100,2,1,7.82694747607386
0.1,150,2,1,7.88421541209869
0.2,150,2,1,7.77056058521865
0.5,150,2,1,7.84625345345195
0.1,50,3,1,7.76439326903136
0.2,50,3,1,7.90536049616939
0.5,50,3,1,7.88950168311636
0.1,100,3,1,7.82782852124348
0.2,100,3,1,7.79258671445897
0.5,100,3,1,7.87540496040256
0.1,150,3,1,7.85161674082302
0.2,150,3,1,7.84897360531418
0.5,150,3,1,7.81813702437774
0.1,50,1,1.5,7.85690301184069
0.2,50,1,1.5,7.89566899930365
0.5,50,1,1.5,7.89743108964288
0.1,100,1,1.5,7.93619707710584
0.2,100,1,1.5,7.79867701429286
0.5,100,1,1.5,7.7942717884448
0.1,150,1,1.5,7.93707812227545
0.2,150,1,1.5,7.821430155996
0.5,150,1,1.5,7.87276182489372
0.1,50,2,1.5,7.87716705074179
0.2,50,2,1.5,7.71378861259646
0.5,50,2,1.5,7.84456837946612
0.1,100,2,1.5,7.83311479226115
0.2,100,2,1.5,7.82870956641309
0.5,100,2,1.5,7.8709997345545
0.1,150,2,1.5,7.90712258650862
0.2,150,2,1.5,7.87540496040256
0.5,150,2,1.5,7.89390690896443
0.1,50,3,1.5,7.89022869557919
0.2,50,3,1.5,7.81798299167095
0.5,50,3,1.5,7.84016315361805
0.1,100,3,1.5,7.87877510837422
0.2,100,3,1.5,7.90359840583017
0.5,100,3,1.5,7.82518538573464
0.1,150,3,1.5,7.82119910693581
0.2,150,3,1.5,7.88590048608452
0.5,150,3,1.5,7.8991931799821
